id	window	forward_repeat_number	reverse_repeat_number	telomeric_repeat
1	10000	678	0	AACCT
1	20000	0	1	AACCT
1	30000	0	0	AACCT
1	40000	5	5	AACCT
1	50000	8	5	AACCT
1	60000	7	7	AACCT
1	70000	16	10	AACCT
1	80000	12	6	AACCT
1	90000	8	12	AACCT
1	100000	3	6	AACCT
1	110000	7	7	AACCT
1	120000	4	6	AACCT
1	130000	5	9	AACCT
1	140000	7	7	AACCT
1	150000	7	5	AACCT
1	160000	2	15	AACCT
1	170000	15	1	AACCT
1	180000	10	2	AACCT
1	190000	9	5	AACCT
1	200000	12	5	AACCT
1	210000	7	6	AACCT
1	220000	7	9	AACCT
1	230000	8	7	AACCT
1	240000	4	9	AACCT
1	250000	8	6	AACCT
1	260000	10	10	AACCT
1	270000	1	4	AACCT
1	280000	6	6	AACCT
1	290000	6	4	AACCT
1	300000	5	6	AACCT
1	310000	2	3	AACCT
1	320000	8	6	AACCT
1	330000	8	4	AACCT
1	340000	8	10	AACCT
1	350000	12	6	AACCT
1	360000	10	4	AACCT
1	370000	4	6	AACCT
1	380000	5	6	AACCT
1	390000	5	6	AACCT
1	400000	4	8	AACCT
1	410000	9	4	AACCT
1	420000	10	7	AACCT
1	430000	8	5	AACCT
1	440000	6	1	AACCT
1	450000	4	3	AACCT
1	460000	10	3	AACCT
1	470000	5	4	AACCT
1	480000	6	8	AACCT
1	490000	10	7	AACCT
1	500000	2	8	AACCT
1	510000	4	2	AACCT
1	520000	8	5	AACCT
1	530000	6	15	AACCT
1	540000	6	9	AACCT
1	550000	3	6	AACCT
1	560000	5	2	AACCT
1	570000	6	8	AACCT
1	580000	4	6	AACCT
1	590000	5	6	AACCT
1	600000	2	6	AACCT
1	610000	4	6	AACCT
1	620000	4	10	AACCT
1	630000	8	9	AACCT
1	640000	8	4	AACCT
1	650000	8	13	AACCT
1	660000	3	7	AACCT
1	670000	3	8	AACCT
1	680000	6	5	AACCT
1	690000	6	6	AACCT
1	700000	5	11	AACCT
1	710000	7	4	AACCT
1	720000	4	5	AACCT
1	730000	12	4	AACCT
1	740000	10	7	AACCT
1	750000	6	4	AACCT
1	760000	6	7	AACCT
1	770000	7	4	AACCT
1	780000	3	3	AACCT
1	790000	6	6	AACCT
1	800000	6	11	AACCT
1	810000	7	3	AACCT
1	820000	13	5	AACCT
1	830000	1	2	AACCT
1	840000	6	7	AACCT
1	850000	12	9	AACCT
1	860000	5	6	AACCT
1	870000	8	6	AACCT
1	880000	4	2	AACCT
1	890000	6	6	AACCT
1	900000	3	3	AACCT
1	910000	14	5	AACCT
1	920000	8	6	AACCT
1	930000	7	5	AACCT
1	940000	7	6	AACCT
1	950000	4	4	AACCT
1	960000	10	6	AACCT
1	970000	9	6	AACCT
1	980000	8	4	AACCT
1	990000	9	5	AACCT
1	1000000	5	4	AACCT
1	1010000	16	3	AACCT
1	1020000	9	5	AACCT
1	1030000	5	10	AACCT
1	1040000	3	3	AACCT
1	1050000	10	6	AACCT
1	1060000	7	9	AACCT
1	1070000	8	4	AACCT
1	1080000	4	8	AACCT
1	1090000	7	7	AACCT
1	1100000	3	4	AACCT
1	1110000	5	8	AACCT
1	1120000	10	4	AACCT
1	1130000	6	11	AACCT
1	1140000	7	15	AACCT
1	1150000	8	10	AACCT
1	1160000	7	12	AACCT
1	1170000	3	8	AACCT
1	1180000	9	1	AACCT
1	1190000	7	8	AACCT
1	1200000	8	7	AACCT
1	1210000	7	4	AACCT
1	1220000	10	7	AACCT
1	1230000	4	7	AACCT
1	1240000	13	7	AACCT
1	1250000	10	6	AACCT
1	1260000	3	5	AACCT
1	1270000	8	9	AACCT
1	1280000	3	4	AACCT
1	1290000	5	9	AACCT
1	1300000	7	7	AACCT
1	1310000	4	7	AACCT
1	1320000	6	7	AACCT
1	1330000	8	6	AACCT
1	1340000	16	7	AACCT
1	1350000	5	1	AACCT
1	1360000	8	6	AACCT
1	1370000	7	7	AACCT
1	1380000	5	4	AACCT
1	1390000	7	6	AACCT
1	1400000	9	4	AACCT
1	1410000	1	7	AACCT
1	1420000	5	4	AACCT
1	1430000	6	7	AACCT
1	1440000	4	4	AACCT
1	1450000	6	7	AACCT
1	1460000	6	6	AACCT
1	1470000	6	8	AACCT
1	1480000	10	4	AACCT
1	1490000	13	4	AACCT
1	1500000	8	8	AACCT
1	1510000	5	5	AACCT
1	1520000	12	2	AACCT
1	1530000	9	3	AACCT
1	1540000	5	9	AACCT
1	1550000	12	6	AACCT
1	1560000	10	7	AACCT
1	1570000	4	6	AACCT
1	1580000	5	9	AACCT
1	1590000	7	12	AACCT
1	1600000	9	5	AACCT
1	1610000	6	7	AACCT
1	1620000	4	10	AACCT
1	1630000	2	3	AACCT
1	1640000	6	9	AACCT
1	1650000	9	3	AACCT
1	1660000	4	10	AACCT
1	1670000	10	4	AACCT
1	1680000	11	7	AACCT
1	1690000	3	10	AACCT
1	1700000	4	7	AACCT
1	1710000	3	4	AACCT
1	1720000	7	12	AACCT
1	1730000	4	12	AACCT
1	1740000	5	11	AACCT
1	1750000	4	6	AACCT
1	1760000	4	10	AACCT
1	1770000	5	1	AACCT
1	1780000	5	4	AACCT
1	1790000	4	7	AACCT
1	1800000	4	7	AACCT
1	1810000	3	8	AACCT
1	1820000	9	6	AACCT
1	1830000	7	1	AACCT
1	1840000	6	6	AACCT
1	1850000	5	9	AACCT
1	1860000	2	4	AACCT
1	1870000	3	8	AACCT
1	1880000	10	6	AACCT
1	1890000	6	6	AACCT
1	1900000	3	6	AACCT
1	1910000	11	1	AACCT
1	1920000	2	5	AACCT
1	1930000	4	9	AACCT
1	1940000	11	9	AACCT
1	1950000	10	5	AACCT
1	1960000	5	9	AACCT
1	1970000	6	6	AACCT
1	1980000	6	7	AACCT
1	1990000	5	4	AACCT
1	2000000	8	4	AACCT
1	2010000	8	6	AACCT
1	2020000	5	6	AACCT
1	2030000	9	6	AACCT
1	2040000	7	4	AACCT
1	2050000	5	7	AACCT
1	2060000	5	11	AACCT
1	2070000	5	12	AACCT
1	2080000	2	10	AACCT
1	2090000	10	6	AACCT
1	2100000	7	2	AACCT
1	2110000	12	12	AACCT
1	2120000	8	6	AACCT
1	2130000	12	11	AACCT
1	2140000	10	5	AACCT
1	2150000	10	7	AACCT
1	2160000	10	8	AACCT
1	2170000	12	7	AACCT
1	2180000	6	7	AACCT
1	2190000	7	5	AACCT
1	2200000	4	7	AACCT
1	2210000	5	3	AACCT
1	2220000	4	12	AACCT
1	2230000	6	5	AACCT
1	2240000	2	6	AACCT
1	2250000	8	4	AACCT
1	2260000	8	6	AACCT
1	2270000	5	7	AACCT
1	2280000	2	5	AACCT
1	2290000	3	9	AACCT
1	2300000	7	11	AACCT
1	2310000	4	7	AACCT
1	2320000	10	4	AACCT
1	2330000	7	8	AACCT
1	2340000	6	6	AACCT
1	2350000	3	4	AACCT
1	2360000	5	10	AACCT
1	2370000	7	5	AACCT
1	2380000	9	12	AACCT
1	2390000	9	8	AACCT
1	2400000	3	5	AACCT
1	2410000	9	7	AACCT
1	2420000	4	9	AACCT
1	2430000	5	6	AACCT
1	2440000	6	9	AACCT
1	2450000	8	11	AACCT
1	2460000	7	4	AACCT
1	2470000	11	6	AACCT
1	2480000	3	13	AACCT
1	2490000	5	5	AACCT
1	2500000	11	7	AACCT
1	2510000	7	3	AACCT
1	2520000	2	8	AACCT
1	2530000	9	3	AACCT
1	2540000	4	6	AACCT
1	2550000	3	8	AACCT
1	2560000	8	7	AACCT
1	2570000	14	3	AACCT
1	2580000	4	9	AACCT
1	2590000	2	6	AACCT
1	2600000	2	4	AACCT
1	2610000	7	12	AACCT
1	2620000	2	4	AACCT
1	2630000	13	9	AACCT
1	2640000	12	6	AACCT
1	2650000	7	8	AACCT
1	2660000	4	11	AACCT
1	2670000	4	9	AACCT
1	2680000	7	4	AACCT
1	2690000	4	5	AACCT
1	2700000	10	2	AACCT
1	2710000	9	13	AACCT
1	2720000	6	9	AACCT
1	2730000	9	8	AACCT
1	2740000	5	4	AACCT
1	2750000	7	6	AACCT
1	2760000	6	6	AACCT
1	2770000	3	9	AACCT
1	2780000	9	5	AACCT
1	2790000	2	4	AACCT
1	2800000	3	5	AACCT
1	2810000	4	5	AACCT
1	2820000	6	5	AACCT
1	2830000	7	5	AACCT
1	2840000	4	7	AACCT
1	2850000	6	1	AACCT
1	2860000	5	6	AACCT
1	2870000	3	12	AACCT
1	2880000	6	4	AACCT
1	2890000	8	3	AACCT
1	2900000	3	8	AACCT
1	2910000	5	6	AACCT
1	2920000	8	7	AACCT
1	2930000	8	5	AACCT
1	2940000	9	4	AACCT
1	2950000	12	6	AACCT
1	2960000	3	7	AACCT
1	2970000	13	1	AACCT
1	2980000	3	8	AACCT
1	2990000	12	6	AACCT
1	3000000	7	2	AACCT
1	3010000	16	8	AACCT
1	3020000	7	7	AACCT
1	3030000	5	9	AACCT
1	3040000	6	8	AACCT
1	3050000	4	4	AACCT
1	3060000	6	11	AACCT
1	3070000	6	4	AACCT
1	3080000	13	9	AACCT
1	3090000	6	1	AACCT
1	3100000	8	15	AACCT
1	3110000	7	4	AACCT
1	3120000	5	4	AACCT
1	3130000	7	10	AACCT
1	3140000	10	7	AACCT
1	3150000	8	4	AACCT
1	3160000	12	5	AACCT
1	3170000	6	6	AACCT
1	3180000	13	6	AACCT
1	3190000	5	10	AACCT
1	3200000	5	8	AACCT
1	3210000	5	5	AACCT
1	3220000	5	6	AACCT
1	3230000	2	8	AACCT
1	3240000	14	9	AACCT
1	3250000	7	2	AACCT
1	3260000	6	8	AACCT
1	3270000	10	2	AACCT
1	3280000	6	3	AACCT
1	3290000	8	13	AACCT
1	3300000	8	4	AACCT
1	3310000	4	1	AACCT
1	3320000	5	7	AACCT
1	3330000	9	3	AACCT
1	3340000	7	9	AACCT
1	3350000	5	13	AACCT
1	3360000	3	8	AACCT
1	3370000	8	8	AACCT
1	3380000	3	10	AACCT
1	3390000	8	7	AACCT
1	3400000	9	9	AACCT
1	3410000	5	3	AACCT
1	3420000	8	9	AACCT
1	3430000	7	9	AACCT
1	3440000	11	6	AACCT
1	3450000	9	7	AACCT
1	3460000	5	9	AACCT
1	3470000	8	8	AACCT
1	3480000	2	12	AACCT
1	3490000	7	5	AACCT
1	3500000	9	6	AACCT
1	3510000	12	5	AACCT
1	3520000	2	9	AACCT
1	3530000	12	8	AACCT
1	3540000	7	5	AACCT
1	3550000	9	5	AACCT
1	3560000	6	11	AACCT
1	3570000	8	8	AACCT
1	3580000	6	10	AACCT
1	3590000	9	5	AACCT
1	3600000	6	3	AACCT
1	3610000	2	2	AACCT
1	3620000	3	2	AACCT
1	3630000	4	4	AACCT
1	3640000	5	10	AACCT
1	3650000	6	9	AACCT
1	3660000	4	5	AACCT
1	3670000	4	8	AACCT
1	3680000	2	9	AACCT
1	3690000	7	6	AACCT
1	3700000	9	3	AACCT
1	3710000	7	5	AACCT
1	3720000	2	2	AACCT
1	3730000	9	9	AACCT
1	3740000	8	10	AACCT
1	3750000	6	5	AACCT
1	3760000	12	7	AACCT
1	3770000	9	3	AACCT
1	3780000	4	6	AACCT
1	3790000	7	5	AACCT
1	3800000	7	4	AACCT
1	3810000	3	8	AACCT
1	3820000	11	6	AACCT
1	3830000	5	7	AACCT
1	3840000	7	5	AACCT
1	3850000	9	10	AACCT
1	3860000	6	5	AACCT
1	3870000	12	9	AACCT
1	3880000	11	4	AACCT
1	3890000	7	8	AACCT
1	3900000	6	5	AACCT
1	3910000	10	9	AACCT
1	3920000	8	4	AACCT
1	3930000	7	10	AACCT
1	3940000	3	5	AACCT
1	3950000	6	10	AACCT
1	3960000	6	11	AACCT
1	3970000	3	5	AACCT
1	3980000	6	13	AACCT
1	3990000	9	4	AACCT
1	4000000	8	8	AACCT
1	4010000	6	6	AACCT
1	4020000	7	5	AACCT
1	4030000	6	9	AACCT
1	4040000	7	12	AACCT
1	4050000	7	9	AACCT
1	4060000	8	7	AACCT
1	4070000	11	7	AACCT
1	4080000	5	5	AACCT
1	4090000	7	6	AACCT
1	4100000	6	15	AACCT
1	4110000	3	4	AACCT
1	4120000	4	10	AACCT
1	4130000	1	7	AACCT
1	4140000	6	4	AACCT
1	4150000	7	4	AACCT
1	4160000	7	7	AACCT
1	4170000	8	6	AACCT
1	4180000	9	12	AACCT
1	4190000	4	11	AACCT
1	4200000	4	8	AACCT
1	4210000	4	11	AACCT
1	4220000	5	5	AACCT
1	4230000	9	5	AACCT
1	4240000	5	6	AACCT
1	4250000	2	9	AACCT
1	4260000	8	13	AACCT
1	4270000	5	8	AACCT
1	4280000	3	4	AACCT
1	4290000	3	3	AACCT
1	4300000	6	3	AACCT
1	4310000	9	8	AACCT
1	4320000	7	3	AACCT
1	4330000	8	14	AACCT
1	4340000	8	9	AACCT
1	4350000	9	7	AACCT
1	4360000	5	3	AACCT
1	4370000	6	5	AACCT
1	4380000	9	5	AACCT
1	4390000	9	1	AACCT
1	4400000	16	7	AACCT
1	4410000	7	7	AACCT
1	4420000	11	5	AACCT
1	4430000	9	6	AACCT
1	4440000	10	5	AACCT
1	4450000	11	8	AACCT
1	4460000	4	5	AACCT
1	4470000	5	9	AACCT
1	4480000	5	10	AACCT
1	4490000	7	11	AACCT
1	4500000	7	10	AACCT
1	4510000	6	6	AACCT
1	4520000	10	5	AACCT
1	4530000	10	5	AACCT
1	4540000	8	8	AACCT
1	4550000	8	8	AACCT
1	4560000	6	5	AACCT
1	4570000	7	2	AACCT
1	4580000	10	6	AACCT
1	4590000	7	6	AACCT
1	4600000	5	4	AACCT
1	4610000	6	2	AACCT
1	4620000	5	3	AACCT
1	4630000	11	4	AACCT
1	4640000	7	8	AACCT
1	4650000	7	9	AACCT
1	4660000	6	7	AACCT
1	4670000	10	10	AACCT
1	4680000	9	10	AACCT
1	4690000	6	7	AACCT
1	4700000	8	8	AACCT
1	4710000	7	8	AACCT
1	4720000	3	5	AACCT
1	4730000	7	6	AACCT
1	4740000	10	4	AACCT
1	4750000	8	6	AACCT
1	4760000	6	8	AACCT
1	4770000	12	9	AACCT
1	4780000	8	4	AACCT
1	4790000	8	8	AACCT
1	4800000	6	8	AACCT
1	4810000	4	13	AACCT
1	4820000	7	5	AACCT
1	4830000	7	9	AACCT
1	4840000	6	5	AACCT
1	4850000	9	11	AACCT
1	4860000	5	8	AACCT
1	4870000	6	6	AACCT
1	4880000	8	5	AACCT
1	4890000	7	6	AACCT
1	4900000	6	9	AACCT
1	4910000	6	8	AACCT
1	4920000	12	11	AACCT
1	4930000	4	10	AACCT
1	4940000	5	9	AACCT
1	4950000	8	3	AACCT
1	4960000	6	9	AACCT
1	4970000	6	3	AACCT
1	4980000	7	8	AACCT
1	4990000	8	6	AACCT
1	5000000	11	15	AACCT
1	5010000	9	12	AACCT
1	5020000	12	5	AACCT
1	5030000	10	4	AACCT
1	5040000	2	7	AACCT
1	5050000	8	5	AACCT
1	5060000	9	5	AACCT
1	5070000	9	6	AACCT
1	5080000	8	7	AACCT
1	5090000	13	4	AACCT
1	5100000	6	4	AACCT
1	5110000	8	8	AACCT
1	5120000	7	5	AACCT
1	5130000	11	6	AACCT
1	5140000	7	8	AACCT
1	5150000	12	2	AACCT
1	5160000	15	5	AACCT
1	5170000	7	14	AACCT
1	5180000	7	8	AACCT
1	5190000	7	7	AACCT
1	5200000	15	11	AACCT
1	5210000	10	8	AACCT
1	5220000	4	5	AACCT
1	5230000	5	2	AACCT
1	5240000	10	7	AACCT
1	5250000	3	8	AACCT
1	5260000	6	10	AACCT
1	5270000	6	10	AACCT
1	5280000	6	6	AACCT
1	5290000	6	6	AACCT
1	5300000	6	6	AACCT
1	5310000	7	10	AACCT
1	5320000	5	8	AACCT
1	5330000	9	7	AACCT
1	5340000	6	18	AACCT
1	5350000	6	7	AACCT
1	5360000	5	10	AACCT
1	5370000	10	12	AACCT
1	5380000	10	9	AACCT
